T[K],T,na [m-3],n AII[m-3],ne[m-3],n AIII[m-3],g/Z(T)1,g/Z(T)2,Q(Te)(m-2)
3.00E+03,3.00E+03,3.06E+24,6.38E+12,6.38E+12,4.42E-20,7.99E-01,6.91E-01,1.31E-20
3.10E+03,3.10E+03,2.37E+24,1.54E+13,1.54E+13,1.46E-18,9.94E-01,6.87E-01,1.34E-20
3.20E+03,3.20E+03,2.29E+24,3.91E+13,3.91E+13,3.88E-17,9.90E-01,6.83E-01,1.38E-20
3.30E+03,3.30E+03,2.22E+24,9.39E+13,9.39E+13,8.48E-16,9.86E-01,6.79E-01,1.41E-20
3.40E+03,3.40E+03,2.16E+24,2.14E+14,2.14E+14,1.55E-14,9.82E-01,6.76E-01,1.45E-20
3.50E+03,3.50E+03,2.10E+24,4.66E+14,4.66E+14,2.39E-13,9.78E-01,6.72E-01,1.48E-20
3.60E+03,3.60E+03,2.04E+24,9.71E+14,9.71E+14,3.19E-12,9.75E-01,6.69E-01,1.52E-20
3.70E+03,3.70E+03,1.98E+24,1.95E+15,1.95E+15,3.69E-11,9.72E-01,6.66E-01,1.56E-20
3.80E+03,3.80E+03,1.93E+24,3.76E+15,3.76E+15,3.76E-10,9.68E-01,6.63E-01,1.59E-20
3.90E+03,3.90E+03,1.88E+24,7.03E+15,7.03E+15,3.41E-09,9.65E-01,6.60E-01,1.63E-20
4.00E+03,4.00E+03,1.83E+24,1.27E+16,1.27E+16,2.77E-08,9.62E-01,6.57E-01,1.67E-20
4.10E+03,4.10E+03,1.79E+24,2.24E+16,2.24E+16,2.03E-07,9.60E-01,6.54E-01,1.71E-20
4.20E+03,4.20E+03,1.75E+24,3.84E+16,3.84E+16,1.36E-06,9.57E-01,6.51E-01,1.76E-20
4.30E+03,4.30E+03,1.71E+24,6.41E+16,6.41E+16,8.31E-06,9.54E-01,6.49E-01,1.80E-20
4.40E+03,4.40E+03,1.67E+24,1.05E+17,1.05E+17,4.69E-05,9.52E-01,6.46E-01,1.84E-20
4.50E+03,4.50E+03,1.63E+24,1.67E+17,1.67E+17,2.45E-04,9.50E-01,6.44E-01,1.88E-20
4.60E+03,4.60E+03,1.60E+24,2.62E+17,2.62E+17,1.19E-03,9.47E-01,6.42E-01,1.93E-20
4.70E+03,4.70E+03,1.56E+24,4.03E+17,4.03E+17,5.44E-03,9.45E-01,6.39E-01,1.97E-20
4.80E+03,4.80E+03,1.53E+24,6.08E+17,6.08E+17,2.33E-02,9.43E-01,6.37E-01,2.02E-20
4.90E+03,4.90E+03,1.50E+24,9.02E+17,9.02E+17,9.41E-02,9.41E-01,6.35E-01,2.07E-20
5.00E+03,5.00E+03,1.47E+24,1.32E+18,1.32E+18,3.60E-01,9.39E-01,6.33E-01,2.11E-20
